Executando em modo automático:
  Instância: 2
  Algoritmo: NSGA-III
  Tipo: Solomon

Tipo selecionado: Instâncias Solomon

=== MENU DE SELEÇÃO DE INSTÂNCIA ===

Instância selecionada: C102.txt
Number of vehicles: 25
Vehicle capacity: 200
Number of clients: 101

=== NSGA-III para Problema de Roteamento de Veiculos ===

Configuracao do Problema:
- Clientes: 100, Veiculos: 25, Capacidade: 200
- Objetivos: Distancia, Tempo, Combustivel
- Constraints: Capacidade, Time Windows, Cobertura

DEBUG: Seed JMetal: 54715623293812
2026-05-22 09:16:23.592 INFO: Loggers configured with null [org.uma.jmetal.util.JMetalLogger configureLoggers]
2026-05-22 09:16:23.620 INFO: rpssize: 595 [org.uma.jmetal.algorithm.multiobjective.nsgaiii.NSGAIII <init>]
Configuracao do NSGA-III:
- Pop solicitada: 600
- Geracoes: 3000
- Crossover: OnePoint por coluna (Pc=1.0)
- Mutacao: Swap intra+inter rota (Pm=0.01)
- Selecao: Binary Tournament

Iniciando execucao...

DEBUG: Primeira solucao criada - Dist: 1484,81, Tempo: 5636,33, Comb: 760,28
DEBUG: 100 solucoes criadas na inicializacao
DEBUG: 200 solucoes criadas na inicializacao
DEBUG: 300 solucoes criadas na inicializacao
DEBUG: 400 solucoes criadas na inicializacao
DEBUG: 500 solucoes criadas na inicializacao
[Eval 445000] Best: Dist=1250,97, Time=5495,93, Fuel=633,98 | Unique solutions: 29387
[Eval 450000] Best: Dist=1250,97, Time=5495,93, Fuel=633,98 | Unique solutions: 29387
[Eval 455000] Best: Dist=1249,56, Time=5495,93, Fuel=633,98 | Unique solutions: 29387
[Eval 460000] Best: Dist=1249,56, Time=5495,93, Fuel=633,98 | Unique solutions: 29387
[Eval 465000] Best: Dist=1249,56, Time=5495,93, Fuel=633,98 | Unique solutions: 29387
[Eval 470000] Best: Dist=1249,56, Time=5495,93, Fuel=633,98 | Unique solutions: 29387
[Eval 475000] Best: Dist=1249,56, Time=5495,93, Fuel=633,98 | Unique solutions: 29387
[Eval 480000] Best: Dist=1249,56, Time=5495,93, Fuel=633,98 | Unique solutions: 29387
[Eval 485000] Best: Dist=1249,56, Time=5495,93, Fuel=633,98 | Unique solutions: 29387
[Eval 490000] Best: Dist=1249,56, Time=5495,93, Fuel=633,98 | Unique solutions: 29387
[Eval 495000] Best: Dist=1249,56, Time=5495,93, Fuel=633,98 | Unique solutions: 29387
[Eval 500000] Best: Dist=1249,56, Time=5495,93, Fuel=633,98 | Unique solutions: 29387
[Eval 505000] Best: Dist=1249,56, Time=5495,93, Fuel=633,98 | Unique solutions: 29387
[Eval 510000] Best: Dist=1249,56, Time=5495,93, Fuel=633,98 | Unique solutions: 29387
[Eval 515000] Best: Dist=1249,56, Time=5495,93, Fuel=633,98 | Unique solutions: 29387
[Eval 520000] Best: Dist=1249,56, Time=5495,93, Fuel=633,98 | Unique solutions: 29387
[Eval 525000] Best: Dist=1249,56, Time=5495,93, Fuel=633,98 | Unique solutions: 29387
[Eval 530000] Best: Dist=1249,56, Time=5495,93, Fuel=633,98 | Unique solutions: 29387
[Eval 535000] Best: Dist=1249,56, Time=5495,93, Fuel=633,98 | Unique solutions: 29387
[Eval 540000] Best: Dist=1249,56, Time=5495,93, Fuel=633,98 | Unique solutions: 29387
[Eval 545000] Best: Dist=1249,56, Time=5495,93, Fuel=633,98 | Unique solutions: 29387
[Eval 550000] Best: Dist=1249,56, Time=5495,93, Fuel=633,98 | Unique solutions: 29387
[Eval 555000] Best: Dist=1249,56, Time=5495,93, Fuel=633,98 | Unique solutions: 29387
[Eval 560000] Best: Dist=1249,56, Time=5495,93, Fuel=633,98 | Unique solutions: 29387
[Eval 565000] Best: Dist=1249,56, Time=5495,93, Fuel=633,98 | Unique solutions: 29387
[Eval 570000] Best: Dist=1249,56, Time=5495,93, Fuel=633,98 | Unique solutions: 29387
[Eval 575000] Best: Dist=1249,56, Time=5495,93, Fuel=633,98 | Unique solutions: 29387
[Eval 580000] Best: Dist=1249,56, Time=5495,93, Fuel=633,98 | Unique solutions: 29387
[Eval 585000] Best: Dist=1249,56, Time=5495,93, Fuel=633,98 | Unique solutions: 29387
[Eval 590000] Best: Dist=1249,56, Time=5495,93, Fuel=633,98 | Unique solutions: 29387
[Eval 595000] Best: Dist=1249,56, Time=5495,93, Fuel=633,98 | Unique solutions: 29387
[Eval 600000] Best: Dist=1249,56, Time=5495,93, Fuel=633,98 | Unique solutions: 29387
